,Unnamed: 0,Name,client,split_seed,forest_seed,c_central,cindex_on_global_model,global_c_index_mean,global_c_index_weighted,training_samples,test_samples,concordant_pairs
24,24,2_uneven,1,1,3,0.5864376130198915,0.5777777777777777,0.5893806921675774,0.5982231453002292,81.0,27.0,123.0
25,25,2_uneven,2,1,3,0.5864376130198915,0.600983606557377,0.5893806921675774,0.5982231453002292,243.0,81.0,911.0
26,26,2_uneven,1,1,4,0.5904159132007233,0.5833333333333334,0.5937978142076503,0.6017467948717948,81.0,27.0,125.0
27,27,2_uneven,2,1,4,0.5904159132007233,0.6042622950819672,0.5937978142076503,0.6017467948717948,243.0,81.0,915.0
28,28,2_uneven,1,1,5,0.5824593128390597,0.5888888888888889,0.5942805100182149,0.5983980304772104,81.0,27.0,123.0
29,29,2_uneven,2,1,5,0.5824593128390597,0.599672131147541,0.5942805100182149,0.5983980304772104,243.0,81.0,918.0
30,30,2_uneven,1,1,6,0.5911392405063292,0.5944444444444444,0.5964025500910747,0.5978861916771753,81.0,27.0,126.0
31,31,2_uneven,2,1,6,0.5911392405063292,0.5983606557377049,0.5964025500910747,0.5978861916771753,243.0,81.0,914.0
32,32,2_uneven,1,1,7,0.5867992766726944,0.5833333333333334,0.5918306010928962,0.5982793472132201,81.0,27.0,125.0
33,33,2_uneven,2,1,7,0.5867992766726944,0.600327868852459,0.5918306010928962,0.5982793472132201,243.0,81.0,912.0
34,34,2_uneven,1,1,8,0.5831826401446655,0.5777777777777777,0.5877413479052823,0.5953059225069411,81.0,27.0,124.0
35,35,2_uneven,2,1,8,0.5831826401446655,0.5977049180327869,0.5877413479052823,0.5953059225069411,243.0,81.0,906.0
36,36,2_uneven,1,1,9,0.5842676311030741,0.5833333333333334,0.5898633879781421,0.5948480174693781,81.0,27.0,122.0
37,37,2_uneven,2,1,9,0.5842676311030741,0.5963934426229508,0.5898633879781421,0.5948480174693781,243.0,81.0,909.0
38,38,2_uneven,1,1,10,0.5875226039783001,0.5777777777777777,0.5883970856102003,0.5964513432415546,81.0,27.0,125.0
39,39,2_uneven,2,1,10,0.5875226039783001,0.5990163934426229,0.5883970856102003,0.5964513432415546,243.0,81.0,910.0
40,40,3_even,1,1,1,0.5848101265822785,0.6134453781512605,0.581895434996632,0.5978129727617734,108.0,21.0,85.0
41,41,3_even,2,1,1,0.5848101265822785,0.5294117647058824,0.581895434996632,0.5978129727617734,108.0,21.0,58.0
42,42,3_even,3,1,1,0.5848101265822785,0.602829162132753,0.581895434996632,0.5978129727617734,108.0,66.0,526.0
43,43,3_even,1,1,2,0.5880650994575045,0.6302521008403361,0.5872355471024101,0.605035574116686,108.0,21.0,86.0
44,44,3_even,2,1,2,0.5880650994575045,0.5210084033613446,0.5872355471024101,0.605035574116686,108.0,21.0,60.0
45,45,3_even,3,1,2,0.5880650994575045,0.6104461371055495,0.5872355471024101,0.605035574116686,108.0,66.0,531.0
46,46,3_even,1,1,3,0.5840867992766727,0.6134453781512605,0.5801824538302808,0.5995906636209806,108.0,21.0,84.0
47,47,3_even,2,1,3,0.5840867992766727,0.5210084033613446,0.5801824538302808,0.5995906636209806,108.0,21.0,59.0
48,48,3_even,3,1,3,0.5840867992766727,0.6060935799782372,0.5801824538302808,0.5995906636209806,108.0,66.0,534.0
49,49,3_even,1,1,4,0.5848101265822785,0.6218487394957983,0.5805451669242234,0.6004618372514451,108.0,21.0,85.0
50,50,3_even,2,1,4,0.5848101265822785,0.5126050420168067,0.5805451669242234,0.6004618372514451,108.0,21.0,61.0
51,51,3_even,3,1,4,0.5848101265822785,0.6071817192600653,0.5805451669242234,0.6004618372514451,108.0,66.0,527.0
52,52,3_even,1,1,5,0.5826401446654611,0.6134453781512605,0.5798197407363381,0.59855405628381,108.0,21.0,85.0
53,53,3_even,2,1,5,0.5826401446654611,0.5210084033613446,0.5798197407363381,0.59855405628381,108.0,21.0,60.0
54,54,3_even,3,1,5,0.5826401446654611,0.6050054406964092,0.5798197407363381,0.59855405628381,108.0,66.0,525.0
55,55,3_even,1,1,6,0.5873417721518988,0.6134453781512605,0.5777440464760442,0.5999504287411042,108.0,21.0,86.0
56,56,3_even,2,1,6,0.5873417721518988,0.5126050420168067,0.5777440464760442,0.5999504287411042,108.0,21.0,57.0
57,57,3_even,3,1,6,0.5873417721518988,0.6071817192600653,0.5777440464760442,0.5999504287411042,108.0,66.0,528.0
58,58,3_even,1,1,7,0.5891500904159132,0.6302521008403361,0.586147407820582,0.602554595644959,108.0,21.0,86.0
59,59,3_even,2,1,7,0.5891500904159132,0.5210084033613446,0.586147407820582,0.602554595644959,108.0,21.0,59.0
60,60,3_even,3,1,7,0.5891500904159132,0.6071817192600653,0.586147407820582,0.602554595644959,108.0,66.0,525.0
61,61,3_even,1,1,8,0.5837251356238699,0.6218487394957983,0.5815327219026892,0.5970075052146357,108.0,21.0,82.0
62,62,3_even,2,1,8,0.5837251356238699,0.5210084033613446,0.5815327219026892,0.5970075052146357,108.0,21.0,60.0
63,63,3_even,3,1,8,0.5837251356238699,0.6017410228509249,0.5815327219026892,0.5970075052146357,108.0,66.0,533.0
64,64,3_even,1,1,9,0.5840867992766727,0.6050420168067226,0.5749429260278649,0.5986106493740041,108.0,21.0,84.0
65,65,3_even,2,1,9,0.5840867992766727,0.5126050420168067,0.5749429260278649,0.5986106493740041,108.0,21.0,59.0
66,66,3_even,3,1,9,0.5840867992766727,0.6071817192600653,0.5749429260278649,0.5986106493740041,108.0,66.0,529.0
67,67,3_even,1,1,10,0.5786618444846293,0.5966386554621849,0.5706909532039148,0.5941761796566596,108.0,21.0,85.0
68,68,3_even,2,1,10,0.5786618444846293,0.5126050420168067,0.5706909532039148,0.5941761796566596,108.0,21.0,59.0
69,69,3_even,3,1,10,0.5786618444846293,0.602829162132753,0.5706909532039148,0.5941761796566596,108.0,66.0,532.0
70,70,3_uneven,1,1,1,0.593128390596745,0.6386554621848739,0.5981032640438856,0.6099924340753677,64.0,21.0,86.0
71,71,3_uneven,2,1,1,0.593128390596745,0.5226415094339623,0.5981032640438856,0.6099924340753677,97.0,32.0,131.0
72,72,3_uneven,3,1,1,0.593128390596745,0.6330128205128205,0.5981032640438856,0.6099924340753677,163.0,55.0,390.0
73,73,3_uneven,1,1,2,0.5927667269439422,0.6386554621848739,0.5955532721071012,0.6129817567395017,64.0,21.0,88.0
74,74,3_uneven,2,1,2,0.5927667269439422,0.5037735849056604,0.5955532721071012,0.6129817567395017,97.0,32.0,134.0
75,75,3_uneven,3,1,2,0.5927667269439422,0.6442307692307693,0.5955532721071012,0.6129817567395017,163.0,55.0,396.0
76,76,3_uneven,1,1,3,0.5895117540687161,0.6050420168067226,0.5854514350491042,0.6054131269733456,64.0,21.0,87.0
77,77,3_uneven,2,1,3,0.5895117540687161,0.5150943396226415,0.5854514350491042,0.6054131269733456,97.0,32.0,133.0
78,78,3_uneven,3,1,3,0.5895117540687161,0.6362179487179487,0.5854514350491042,0.6054131269733456,163.0,55.0,391.0
79,79,3_uneven,1,1,4,0.5956600361663653,0.6386554621848739,0.5993268570127616,0.6160991933968124,64.0,21.0,87.0
80,80,3_uneven,2,1,4,0.5956600361663653,0.5150943396226415,0.5993268570127616,0.6160991933968124,97.0,32.0,130.0
81,81,3_uneven,3,1,4,0.5956600361663653,0.6442307692307693,0.5993268570127616,0.6160991933968124,163.0,55.0,397.0
82,82,3_uneven,1,1,5,0.5945750452079566,0.6218487394957983,0.5971534985547194,0.6127483528916418,64.0,21.0,88.0
83,83,3_uneven,2,1,5,0.5945750452079566,0.530188679245283,0.5971534985547194,0.6127483528916418,97.0,32.0,137.0
84,84,3_uneven,3,1,5,0.5945750452079566,0.6394230769230769,0.5971534985547194,0.6127483528916418,163.0,55.0,394.0
85,85,3_uneven,1,1,6,0.5938517179023508,0.6302521008403361,0.5951126580288623,0.6097337288492881,64.0,21.0,88.0
86,86,3_uneven,2,1,6,0.5938517179023508,0.5188679245283019,0.5951126580288623,0.6097337288492881,97.0,32.0,135.0
87,87,3_uneven,3,1,6,0.5938517179023508,0.6362179487179487,0.5951126580288623,0.6097337288492881,163.0,55.0,395.0
88,88,3_uneven,1,1,7,0.596745027124774,0.6302521008403361,0.5982573121169126,0.6122604344606449,64.0,21.0,88.0
89,89,3_uneven,2,1,7,0.596745027124774,0.5283018867924528,0.5982573121169126,0.6122604344606449,97.0,32.0,131.0
90,90,3_uneven,3,1,7,0.596745027124774,0.6362179487179487,0.5982573121169126,0.6122604344606449,163.0,55.0,393.0
91,91,3_uneven,1,1,8,0.596745027124774,0.6386554621848739,0.6014978778158578,0.6146500805661637,64.0,21.0,88.0
92,92,3_uneven,2,1,8,0.596745027124774,0.5264150943396226,0.6014978778158578,0.6146500805661637,97.0,32.0,134.0
93,93,3_uneven,3,1,8,0.596745027124774,0.6394230769230769,0.6014978778158578,0.6146500805661637,163.0,55.0,392.0
94,94,3_uneven,1,1,9,0.5924050632911393,0.6302521008403361,0.5945784699946742,0.6087362879702733,64.0,21.0,87.0
95,95,3_uneven,2,1,9,0.5924050632911393,0.5188679245283019,0.5945784699946742,0.6087362879702733,97.0,32.0,134.0
96,96,3_uneven,3,1,9,0.5924050632911393,0.6346153846153846,0.5945784699946742,0.6087362879702733,163.0,55.0,393.0
97,97,3_uneven,1,1,10,0.5895117540687161,0.6134453781512605,0.5895104171325037,0.6079101988750654,64.0,21.0,88.0
98,98,3_uneven,2,1,10,0.5895117540687161,0.5188679245283019,0.5895104171325037,0.6079101988750654,97.0,32.0,132.0
99,99,3_uneven,3,1,10,0.5895117540687161,0.6362179487179487,0.5895104171325037,0.6079101988750654,163.0,55.0,398.0
100,100,5_even,1,1,1,0.5978300180831826,0.6554621848739496,0.616648447997085,0.626214874683544,64.0,21.0,86.0
101,101,5_even,2,1,1,0.5978300180831826,0.5084033613445378,0.616648447997085,0.626214874683544,64.0,21.0,42.0
102,102,5_even,3,1,1,0.5978300180831826,0.6111111111111112,0.616648447997085,0.626214874683544,64.0,21.0,55.0
103,103,5_even,4,1,1,0.5978300180831826,0.6944444444444444,0.616648447997085,0.626214874683544,64.0,21.0,62.0
104,104,5_even,5,1,1,0.5978300180831826,0.6138211382113821,0.616648447997085,0.626214874683544,68.0,24.0,78.0
105,105,5_even,1,1,2,0.5992766726943942,0.6638655462184874,0.6161068980437704,0.625591623636195,64.0,21.0,88.0
106,106,5_even,2,1,2,0.5992766726943942,0.5084033613445378,0.6161068980437704,0.625591623636195,64.0,21.0,44.0
107,107,5_even,3,1,2,0.5992766726943942,0.6111111111111112,0.6161068980437704,0.625591623636195,64.0,21.0,50.0
108,108,5_even,4,1,2,0.5992766726943942,0.6833333333333333,0.6161068980437704,0.625591623636195,64.0,21.0,59.0
109,109,5_even,5,1,2,0.5992766726943942,0.6138211382113821,0.6161068980437704,0.625591623636195,68.0,24.0,76.0
110,110,5_even,1,1,3,0.596745027124774,0.6386554621848739,0.6221759923481588,0.6271512509450231,64.0,21.0,87.0
111,111,5_even,2,1,3,0.596745027124774,0.5084033613445378,0.6221759923481588,0.6271512509450231,64.0,21.0,46.0
112,112,5_even,3,1,3,0.596745027124774,0.6555555555555556,0.6221759923481588,0.6271512509450231,64.0,21.0,52.0
113,113,5_even,4,1,3,0.596745027124774,0.6944444444444444,0.6221759923481588,0.6271512509450231,64.0,21.0,60.0
114,114,5_even,5,1,3,0.596745027124774,0.6138211382113821,0.6221759923481588,0.6271512509450231,68.0,24.0,79.0
115,115,5_even,1,1,4,0.5974683544303797,0.6554621848739496,0.6089519710323154,0.6163141235345952,64.0,21.0,87.0
116,116,5_even,2,1,4,0.5974683544303797,0.5084033613445378,0.6089519710323154,0.6163141235345952,64.0,21.0,46.0
117,117,5_even,3,1,4,0.5974683544303797,0.6111111111111112,0.6089519710323154,0.6163141235345952,64.0,21.0,57.0
118,118,5_even,4,1,4,0.5974683544303797,0.6722222222222223,0.6089519710323154,0.6163141235345952,64.0,21.0,59.0
119,119,5_even,5,1,4,0.5974683544303797,0.5975609756097561,0.6089519710323154,0.6163141235345952,68.0,24.0,77.0
120,120,5_even,1,1,5,0.5949367088607594,0.6386554621848739,0.6138286534125845,0.620587201734978,64.0,21.0,88.0
121,121,5_even,2,1,5,0.5949367088607594,0.5,0.6138286534125845,0.620587201734978,64.0,21.0,47.0
122,122,5_even,3,1,5,0.5949367088607594,0.6111111111111112,0.6138286534125845,0.620587201734978,64.0,21.0,52.0
123,123,5_even,4,1,5,0.5949367088607594,0.7055555555555556,0.6138286534125845,0.620587201734978,64.0,21.0,60.0
124,124,5_even,5,1,5,0.5949367088607594,0.6138211382113821,0.6138286534125845,0.620587201734978,68.0,24.0,78.0
