,Unnamed: 0,Name,client,split_seed,forest_seed,c_central,cindex_on_global_model,global_c_index_mean,global_c_index_weighted,training_samples,test_samples,concordant_pairs
0,0,2_even,1,1,1,0.8272305312016504,0.8101802757158006,0.8264493611588712,0.827762515929692,188.0,62.0,746.0
1,1,2_even,2,1,1,0.8272305312016504,0.8427184466019417,0.8264493611588712,0.827762515929692,187.0,63.0,877.0
2,2,2_even,1,1,2,0.8272305312016504,0.8154825026511134,0.8305567853061393,0.8317634704940414,188.0,62.0,747.0
3,3,2_even,2,1,2,0.8272305312016504,0.845631067961165,0.8305567853061393,0.8317634704940414,187.0,63.0,877.0
4,4,2_even,1,1,3,0.8277462609592573,0.8112407211028632,0.828435894532014,0.8298952634946357,188.0,62.0,744.0
5,5,2_even,2,1,3,0.8277462609592573,0.845631067961165,0.828435894532014,0.8298952634946357,187.0,63.0,882.0
6,6,2_even,1,1,4,0.8256833419288293,0.8133616118769883,0.8294963399190767,0.8308110214632468,188.0,62.0,744.0
7,7,2_even,2,1,4,0.8256833419288293,0.845631067961165,0.8294963399190767,0.8308110214632468,187.0,63.0,876.0
8,8,2_even,1,1,5,0.8267148014440433,0.8112407211028632,0.828435894532014,0.8298255106450424,188.0,62.0,745.0
9,9,2_even,2,1,5,0.8267148014440433,0.845631067961165,0.828435894532014,0.8298255106450424,187.0,63.0,876.0
10,10,2_even,1,1,6,0.8295513151108819,0.8154825026511134,0.8324985328789547,0.8339768201630741,188.0,62.0,741.0
11,11,2_even,2,1,6,0.8295513151108819,0.8495145631067961,0.8324985328789547,0.8339768201630741,187.0,63.0,882.0
12,12,2_even,1,1,7,0.8298091799896854,0.8186638388123012,0.8321474533867331,0.8332447635740483,188.0,62.0,745.0
13,13,2_even,2,1,7,0.8298091799896854,0.845631067961165,0.8321474533867331,0.8332447635740483,187.0,63.0,877.0
14,14,2_even,1,1,8,0.8295513151108819,0.8133616118769883,0.8319235243850961,0.8334494730207319,188.0,62.0,748.0
15,15,2_even,2,1,8,0.8295513151108819,0.8504854368932039,0.8319235243850961,0.8334494730207319,187.0,63.0,882.0
16,16,2_even,1,1,9,0.8259412068076328,0.8123011664899258,0.8279952434391377,0.8292562014140433,188.0,62.0,744.0
17,17,2_even,2,1,9,0.8259412068076328,0.8436893203883495,0.8279952434391377,0.8292562014140433,187.0,63.0,874.0
18,18,2_even,1,1,10,0.8295513151108819,0.8144220572640509,0.8305119995058119,0.8318379849058094,188.0,62.0,746.0
19,19,2_even,2,1,10,0.8295513151108819,0.8466019417475729,0.8305119995058119,0.8318379849058094,187.0,63.0,880.0
20,20,2_uneven,1,1,1,0.8506962351727695,0.8284671532846716,0.8424457394223999,0.8535123983952693,94.0,31.0,218.0
21,21,2_uneven,2,1,1,0.8506962351727695,0.856424325560128,0.8424457394223999,0.8535123983952693,281.0,94.0,1875.0
22,22,2_uneven,1,1,2,0.8496647756575555,0.8394160583941606,0.8463198261792476,0.8517997953323981,94.0,31.0,215.0
23,23,2_uneven,2,1,2,0.8496647756575555,0.8532235939643347,0.8463198261792476,0.8517997953323981,281.0,94.0,1870.0
24,24,2_uneven,1,1,3,0.8491490458999484,0.8321167883211679,0.8424415674573376,0.8506052310374005,94.0,31.0,218.0
25,25,2_uneven,2,1,3,0.8491490458999484,0.8527663465935071,0.8424415674573376,0.8506052310374005,281.0,94.0,1865.0
26,26,2_uneven,1,1,4,0.8478597215059309,0.8394160583941606,0.8449480840667648,0.8493300447294725,94.0,31.0,216.0
27,27,2_uneven,2,1,4,0.8478597215059309,0.850480109739369,0.8449480840667648,0.8493300447294725,281.0,94.0,1862.0
28,28,2_uneven,1,1,5,0.850438370293966,0.8357664233576643,0.8456381270880685,0.8534553855552479,94.0,31.0,218.0
29,29,2_uneven,2,1,5,0.850438370293966,0.8555098308184728,0.8456381270880685,0.8534553855552479,281.0,94.0,1877.0
30,30,2_uneven,1,1,6,0.8481175863847344,0.8284671532846716,0.8408453736245032,0.850631978042324,94.0,31.0,219.0
31,31,2_uneven,2,1,6,0.8481175863847344,0.8532235939643347,0.8408453736245032,0.850631978042324,281.0,94.0,1873.0
32,32,2_uneven,1,1,7,0.8491490458999484,0.8357664233576643,0.8442663849755857,0.8510068911939181,94.0,31.0,216.0
33,33,2_uneven,2,1,7,0.8491490458999484,0.8527663465935071,0.8442663849755857,0.8510068911939181,281.0,94.0,1871.0
34,34,2_uneven,1,1,8,0.8496647756575555,0.8321167883211679,0.8433560621989927,0.8522840554611004,94.0,31.0,215.0
35,35,2_uneven,2,1,8,0.8496647756575555,0.8545953360768176,0.8433560621989927,0.8522840554611004,281.0,94.0,1876.0
36,36,2_uneven,1,1,9,0.8483754512635379,0.8357664233576643,0.8433518902339304,0.8493707140954058,94.0,31.0,215.0
37,37,2_uneven,2,1,9,0.8483754512635379,0.8509373571101966,0.8433518902339304,0.8493707140954058,281.0,94.0,1867.0
38,38,2_uneven,1,1,10,0.8501805054151624,0.8321167883211679,0.8426701911427512,0.8510422207495384,94.0,31.0,216.0
39,39,2_uneven,2,1,10,0.8501805054151624,0.8532235939643347,0.8426701911427512,0.8510422207495384,281.0,94.0,1874.0
40,40,3_even,1,1,1,0.8233625580195977,0.776536312849162,0.8332442456517295,0.813698193305533,125.0,25.0,137.0
41,41,3_even,2,1,1,0.8233625580195977,0.9147286821705426,0.8332442456517295,0.813698193305533,125.0,25.0,112.0
42,42,3_even,3,1,1,0.8233625580195977,0.8084677419354839,0.8332442456517295,0.813698193305533,125.0,75.0,1190.0
43,43,3_even,1,1,2,0.8238782877772047,0.776536312849162,0.8283003013323164,0.8129131146479939,125.0,25.0,139.0
44,44,3_even,2,1,2,0.8238782877772047,0.8992248062015504,0.8283003013323164,0.8129131146479939,125.0,25.0,111.0
45,45,3_even,3,1,2,0.8238782877772047,0.8091397849462365,0.8283003013323164,0.8129131146479939,125.0,75.0,1199.0
46,46,3_even,1,1,3,0.8249097472924187,0.7821229050279329,0.8325224637164877,0.8135653048137089,125.0,25.0,139.0
47,47,3_even,2,1,3,0.8249097472924187,0.9069767441860463,0.8325224637164877,0.8135653048137089,125.0,25.0,112.0
48,48,3_even,3,1,3,0.8249097472924187,0.8084677419354839,0.8325224637164877,0.8135653048137089,125.0,75.0,1195.0
49,49,3_even,1,1,4,0.8212996389891697,0.7988826815642458,0.8393489492019187,0.8124928910275913,125.0,25.0,138.0
50,50,3_even,2,1,4,0.8212996389891697,0.9147286821705426,0.8393489492019187,0.8124928910275913,125.0,25.0,112.0
51,51,3_even,3,1,4,0.8212996389891697,0.8044354838709677,0.8393489492019187,0.8124928910275913,125.0,75.0,1188.0
52,52,3_even,1,1,5,0.8236204228984012,0.7821229050279329,0.830610527399075,0.8144803655137457,125.0,25.0,138.0
53,53,3_even,2,1,5,0.8236204228984012,0.8992248062015504,0.830610527399075,0.8144803655137457,125.0,25.0,109.0
54,54,3_even,3,1,5,0.8236204228984012,0.8104838709677419,0.830610527399075,0.8144803655137457,125.0,75.0,1194.0
55,55,3_even,1,1,6,0.8220732336255802,0.7932960893854749,0.8355748154915824,0.8129640896744504,125.0,25.0,140.0
56,56,3_even,2,1,6,0.8220732336255802,0.9069767441860463,0.8355748154915824,0.8129640896744504,125.0,25.0,112.0
57,57,3_even,3,1,6,0.8220732336255802,0.8064516129032258,0.8355748154915824,0.8129640896744504,125.0,75.0,1194.0
58,58,3_even,1,1,7,0.8236204228984012,0.7877094972067039,0.8315766674443285,0.8127957910985932,125.0,25.0,140.0
59,59,3_even,2,1,7,0.8236204228984012,0.8992248062015504,0.8315766674443285,0.8127957910985932,125.0,25.0,110.0
60,60,3_even,3,1,7,0.8236204228984012,0.8077956989247311,0.8315766674443285,0.8127957910985932,125.0,75.0,1199.0
61,61,3_even,1,1,8,0.8233625580195977,0.7821229050279329,0.8315065847467453,0.8166837774131002,125.0,25.0,139.0
62,62,3_even,2,1,8,0.8233625580195977,0.8992248062015504,0.8315065847467453,0.8166837774131002,125.0,25.0,109.0
63,63,3_even,3,1,8,0.8233625580195977,0.8131720430107527,0.8315065847467453,0.8166837774131002,125.0,75.0,1194.0
64,64,3_even,1,1,9,0.8231046931407943,0.7877094972067039,0.8341606467724938,0.8134665850428817,125.0,25.0,139.0
65,65,3_even,2,1,9,0.8231046931407943,0.9069767441860463,0.8341606467724938,0.8134665850428817,125.0,25.0,111.0
66,66,3_even,3,1,9,0.8231046931407943,0.8077956989247311,0.8341606467724938,0.8134665850428817,125.0,75.0,1199.0
67,67,3_even,1,1,10,0.8187209902011346,0.7932960893854749,0.8286147421399112,0.8073389396623285,125.0,25.0,138.0
68,68,3_even,2,1,10,0.8187209902011346,0.8914728682170543,0.8286147421399112,0.8073389396623285,125.0,25.0,112.0
69,69,3_even,3,1,10,0.8187209902011346,0.8010752688172043,0.8286147421399112,0.8073389396623285,125.0,75.0,1195.0
70,70,3_uneven,1,1,1,0.8370293965961836,0.7877094972067039,0.8251265701008812,0.8462636319461889,75.0,25.0,132.0
71,71,3_uneven,2,1,1,0.8370293965961836,0.8274760383386581,0.8251265701008812,0.8462636319461889,112.0,37.0,250.0
72,72,3_uneven,3,1,1,0.8370293965961836,0.8601941747572815,0.8251265701008812,0.8462636319461889,188.0,63.0,892.0
73,73,3_uneven,1,1,2,0.8347086126869521,0.7877094972067039,0.8222553065174367,0.8450625748687088,75.0,25.0,132.0
74,74,3_uneven,2,1,2,0.8347086126869521,0.8178913738019169,0.8222553065174367,0.8450625748687088,112.0,37.0,250.0
75,75,3_uneven,3,1,2,0.8347086126869521,0.8611650485436894,0.8222553065174367,0.8450625748687088,188.0,63.0,892.0
76,76,3_uneven,1,1,3,0.8362558019597731,0.7877094972067039,0.8234143581836382,0.8442614802901368,75.0,25.0,132.0
77,77,3_uneven,2,1,3,0.8362558019597731,0.8242811501597445,0.8234143581836382,0.8442614802901368,112.0,37.0,251.0
78,78,3_uneven,3,1,3,0.8362558019597731,0.858252427184466,0.8234143581836382,0.8442614802901368,188.0,63.0,892.0
79,79,3_uneven,1,1,4,0.8354822073233625,0.7932960893854749,0.8255060912321343,0.8469972419718617,75.0,25.0,132.0
80,80,3_uneven,2,1,4,0.8354822073233625,0.8210862619808307,0.8255060912321343,0.8469972419718617,112.0,37.0,247.0
81,81,3_uneven,3,1,4,0.8354822073233625,0.8621359223300971,0.8255060912321343,0.8469972419718617,188.0,63.0,891.0
82,82,3_uneven,1,1,5,0.8367715317173801,0.7877094972067039,0.8257738192918197,0.8476474623072613,75.0,25.0,131.0
83,83,3_uneven,2,1,5,0.8367715317173801,0.8274760383386581,0.8257738192918197,0.8476474623072613,112.0,37.0,250.0
84,84,3_uneven,3,1,5,0.8367715317173801,0.8621359223300971,0.8257738192918197,0.8476474623072613,188.0,63.0,890.0
85,85,3_uneven,1,1,6,0.8380608561113976,0.7932960893854749,0.8261533404230728,0.8483810150745957,75.0,25.0,132.0
86,86,3_uneven,2,1,6,0.8380608561113976,0.8210862619808307,0.8261533404230728,0.8483810150745957,112.0,37.0,246.0
87,87,3_uneven,3,1,6,0.8380608561113976,0.8640776699029126,0.8261533404230728,0.8483810150745957,188.0,63.0,891.0
88,88,3_uneven,1,1,7,0.8354822073233625,0.7932960893854749,0.8242115928502572,0.8442615122498414,75.0,25.0,131.0
89,89,3_uneven,2,1,7,0.8354822073233625,0.8210862619808307,0.8242115928502572,0.8442615122498414,112.0,37.0,248.0
90,90,3_uneven,3,1,7,0.8354822073233625,0.858252427184466,0.8242115928502572,0.8442615122498414,188.0,63.0,888.0
91,91,3_uneven,1,1,8,0.8357400722021661,0.7932960893854749,0.8233761657795251,0.8456966488714208,75.0,25.0,131.0
92,92,3_uneven,2,1,8,0.8357400722021661,0.8146964856230032,0.8233761657795251,0.8456966488714208,112.0,37.0,250.0
93,93,3_uneven,3,1,8,0.8357400722021661,0.8621359223300971,0.8233761657795251,0.8456966488714208,188.0,63.0,889.0
94,94,3_uneven,1,1,9,0.8354822073233625,0.7877094972067039,0.8237379827791074,0.8449232539215796,75.0,25.0,132.0
95,95,3_uneven,2,1,9,0.8354822073233625,0.8242811501597445,0.8237379827791074,0.8449232539215796,112.0,37.0,250.0
96,96,3_uneven,3,1,9,0.8354822073233625,0.8592233009708737,0.8237379827791074,0.8449232539215796,188.0,63.0,889.0
97,97,3_uneven,1,1,10,0.834192882929345,0.7877094972067039,0.821702146266395,0.8420927729727158,75.0,25.0,133.0
98,98,3_uneven,2,1,10,0.834192882929345,0.8210862619808307,0.821702146266395,0.8420927729727158,112.0,37.0,254.0
99,99,3_uneven,3,1,10,0.834192882929345,0.8563106796116505,0.821702146266395,0.8420927729727158,188.0,63.0,884.0
100,100,5_even,1,1,1,0.8122743682310469,0.7541899441340782,0.8200125514935759,0.8177758165056629,75.0,25.0,132.0
101,101,5_even,2,1,1,0.8122743682310469,0.937984496124031,0.8200125514935759,0.8177758165056629,75.0,25.0,123.0
102,102,5_even,3,1,1,0.8122743682310469,0.7547169811320755,0.8200125514935759,0.8177758165056629,75.0,25.0,118.0
103,103,5_even,4,1,1,0.8122743682310469,0.8625954198473282,0.8200125514935759,0.8177758165056629,75.0,25.0,112.0
104,104,5_even,5,1,1,0.8122743682310469,0.7905759162303665,0.8200125514935759,0.8177758165056629,75.0,25.0,146.0
105,105,5_even,1,1,2,0.814337287261475,0.7541899441340782,0.8274652094998444,0.825515544412472,75.0,25.0,132.0
106,106,5_even,2,1,2,0.814337287261475,0.937984496124031,0.8274652094998444,0.825515544412472,75.0,25.0,124.0
